,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
0,Don't Stop Believin',['Journey'],spotify:track:77NNZQSqzLNqh2A9JhLRkg,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,spotify:track:77NNZQSqzLNqh2A9JhLRkg,248907,4
1,Fix You,['Coldplay'],spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,295533,4
2,The Scientist,['Coldplay'],spotify:track:75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,309600,4
3,Sweet Child O' Mine,"[""Guns N' Roses""]",spotify:track:1kDYCn9VIDmOIbLZ2Xc7OO,0.45,0.904,6,-7.736,1,0.046,0.0872,0.108,0.0997,0.689,125.072,1kDYCn9VIDmOIbLZ2Xc7OO,spotify:track:1kDYCn9VIDmOIbLZ2Xc7OO,356400,4
4,Viva La Vida,['Coldplay'],spotify:track:1mea3bSkSGXuIRvnydlB5b,0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31e-06,0.109,0.416,138.017,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,242373,4
5,In the End,['Linkin Park'],spotify:track:3tSmXSxaAnU1EPGKa6NytH,0.555,0.844,3,-6.567,0,0.0554,0.00834,0.0,0.0895,0.464,105.195,3tSmXSxaAnU1EPGKa6NytH,spotify:track:3tSmXSxaAnU1EPGKa6NytH,216800,4
6,Smells Like Teen Spirit,['Nirvana'],spotify:track:4hy4fb5D1KL50b3sng9cjw,0.48,0.875,1,-5.898,1,0.0429,1.62e-05,0.000751,0.103,0.826,116.754,4hy4fb5D1KL50b3sng9cjw,spotify:track:4hy4fb5D1KL50b3sng9cjw,300827,4
7,Paradise City,"[""Guns N' Roses""]",spotify:track:2pDPnlF496mf3EBwrTCHN2,0.273,0.953,11,-8.76,1,0.0768,0.0146,0.0173,0.19,0.445,100.26,2pDPnlF496mf3EBwrTCHN2,spotify:track:2pDPnlF496mf3EBwrTCHN2,406307,4
8,Kids,['MGMT'],spotify:track:1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,302840,4
9,Clocks,['Coldplay'],spotify:track:0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,307880,4
10,Save Tonight,['Eagle-Eye Cherry'],spotify:track:2hdhm6piUJnmKXmEmskXCg,0.545,0.699,0,-8.76,1,0.0338,9.44e-05,5.79e-05,0.12,0.6,119.589,2hdhm6piUJnmKXmEmskXCg,spotify:track:2hdhm6piUJnmKXmEmskXCg,242733,4
11,She Will Be Loved,['Maroon 5'],spotify:track:5s5t0OFg9lIlBFaCI14K1i,0.524,0.711,0,-5.494,0,0.0405,0.0567,0.0,0.134,0.539,203.867,5s5t0OFg9lIlBFaCI14K1i,spotify:track:5s5t0OFg9lIlBFaCI14K1i,257133,4
12,9 Crimes,['Damien Rice'],spotify:track:5GZEeowhvSieFDiR8fQ2im,0.346,0.139,0,-15.326,1,0.0321,0.913,7.73e-05,0.0934,0.116,136.168,5GZEeowhvSieFDiR8fQ2im,spotify:track:5GZEeowhvSieFDiR8fQ2im,217947,4
13,In The Air Tonight,['Phil Collins'],spotify:track:7Dbg5O9nNWu6SWxDjJ9qoq,0.597,0.313,2,-10.791,0,0.0265,0.669,6.23e-06,0.0734,0.357,94.987,7Dbg5O9nNWu6SWxDjJ9qoq,spotify:track:7Dbg5O9nNWu6SWxDjJ9qoq,333120,4
14,Goodbye My Lover,['James Blunt'],spotify:track:6gxycjJNMgmAyfzUXBN80P,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,6gxycjJNMgmAyfzUXBN80P,spotify:track:6gxycjJNMgmAyfzUXBN80P,258653,4
15,Iris,['The Goo Goo Dolls'],spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,289907,3
16,Sultans Of Swing,['Dire Straits'],spotify:track:6pqawkYEUzzuKve6QNfBaT,0.73,0.869,5,-7.307,1,0.0294,0.0605,0.0608,0.335,0.903,148.152,6pqawkYEUzzuKve6QNfBaT,spotify:track:6pqawkYEUzzuKve6QNfBaT,346600,4
17,My Immortal,['Evanescence'],spotify:track:36i9HyLz4ziVtELURFg6jf,0.216,0.261,9,-9.259,1,0.0321,0.874,0.0,0.134,0.092,75.443,36i9HyLz4ziVtELURFg6jf,spotify:track:36i9HyLz4ziVtELURFg6jf,262800,4
18,How You Remind Me,['Nickelback'],spotify:track:0gmbgwZ8iqyMPmXefof8Yf,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,0gmbgwZ8iqyMPmXefof8Yf,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,223840,4
